,Year,MSHA ID,Mine_Name,Production,Labor_Hours,values
0,2013,103381,Tacoa Highwall Miner,100,22392,
1,2013,103404,Reid School Mine,152,8447,
2,2013,100759,North River #1 Underground Min,845,474784,
3,2013,103246,Bear Creek,9744,29193,
4,2013,103451,Knight Mine,455,46393,
5,2013,103433,Crane Central Mine,866,47195,
6,2013,100329,Concord Mine,0,144002,
7,2013,100851,Oak Grove Mine,9744,1001809,
8,2013,102901,Shoal Creek Mine,0,12396,
9,2013,102901,Shoal Creek Mine,546,1237415,
10,2013,103180,Sloan Mountain Mine,86,196963,
11,2013,103182,Fishtrap,884,87314,
12,2013,103285,Narley Mine,8979,90584,
13,2013,103332,Powhatan Mine,65465,61394,
14,2013,103375,Johnson Mine,580,1900,
15,2013,103419,Maxine-Pratt Mine,154,107469,
16,2013,103432,Skelton Creek,8252,220,
17,2013,103437,Black Warrior Mine No,985,70926,
18,2013,102976,Piney Woods Preparation Plant,0,14828,
19,2013,102976,Piney Woods Preparation Plant,0,23193,
20,2013,103380,Calera,0,12621,
21,2013,103380,Calera,0,1402,
22,2013,103422,Clark No 1 Mine,122,140250,
23,2013,103467,Helena Surface Mine,1985,30539,
24,2013,101247,No 4 Mine,1267,1551141,
25,2013,101401,No 7 Mine,995,2464719,
26,2013,103172,"Searles Mine No.2, 3, 4, 5, 6",258078,119542,
27,2013,103179,Fleetwood Mine No 1,75937,63745,
28,2013,103303,Shannon Mine,317491,164388,
29,2013,103323,Deerlick Mine,133452,46381,
30,2013,103364,Brc Alabama No. 7 Llc,0,14324,
31,2013,103436,Swann's Crossing,137511,77190,
32,2013,100347,Choctaw Mine,537429,215295,
33,2013,101362,Manchester Mine,219457,116914,
34,2013,102996,Jap Creek Mine,375715,164093,
35,2013,103155,Corinth Prep Plant,0,27996,
36,2013,103155,Corinth Prep Plant,0,51994,
37,2013,103195,Mccollum/Sparks Branch Mine,71910,17411,
38,2013,103342,Reese's Branch Mine,263888,115123,
